name,phone_code,state_id
MASSAPE,88,6
MAURITI,88,6
MERUOCA,88,6
MILAGRES,88,6
MILHA,88,6
MIRAIMA,88,6
MISSAO VELHA,88,6
MOMBACA,88,6
MONSENHOR TABOSA,88,6
MORADA NOVA,88,6
MORAUJO,88,6
MORRINHOS,88,6
MUCAMBO,88,6
MULUNGU,85,6
NOVA OLINDA,88,6
NOVA RUSSAS,88,6
NOVO ORIENTE,88,6
OCARA,85,6
OROS,88,6
PACAJUS,85,6
PACATUBA,85,6
PACOTI,85,6
PACUJA,88,6
PALHANO,88,6
PALMACIA,85,6
PARACURU,85,6
PARAIPABA,85,6
PARAMBU,88,6
PARAMOTI,85,6
PEDRA BRANCA,88,6
PENAFORTE,88,6
PENTECOSTE,85,6
PEREIRO,88,6
PINDORETAMA,85,6
PIQUET CARNEIRO,88,6
PIRES FERREIRA,88,6
PORANGA,88,6
PORTEIRAS,88,6
POTENGI,88,6
POTIRETAMA,88,6
QUITERIANOPOLIS,88,6
QUIXADA,88,6
QUIXELO,88,6
QUIXERAMOBIM,88,6
QUIXERE,88,6
REDENCAO,85,6
RERIUTABA,88,6
RUSSAS,88,6
SABOEIRO,88,6
SALITRE,88,6
SANTA QUITERIA,88,6
SANTANA DO ACARAU,88,6
SANTANA DO CARIRI,88,6
SAO BENEDITO,88,6
SAO GONCALO DO AMARANTE,85,6
SAO JOAO DO JAGUARIBE,88,6
SAO LUIS DO CURU,85,6
SENADOR POMPEU,88,6
SENADOR SA,88,6
SOBRAL,88,6
SOLONOPOLE,88,6
TABULEIRO DO NORTE,88,6
TAMBORIL,88,6
TARRAFAS,88,6
TAUA,88,6
TEJUCUOCA,85,6
TIANGUA,88,6
TRAIRI,85,6
TURURU,85,6
UBAJARA,88,6
UMARI,88,6
UMIRIM,85,6
URUBURETAMA,85,6
URUOCA,88,6
VARJOTA,88,6
VARZEA ALEGRE,88,6
VICOSA DO CEARA,88,6
BRASILIA,61,7
AFONSO CLAUDIO,27,8
AGUA DOCE DO NORTE,27,8
AGUIA BRANCA,27,8
ALEGRE,28,8
ALFREDO CHAVES,27,8
ALTO RIO NOVO,27,8
ANCHIETA,28,8
APIACA,28,8
ARACRUZ,27,8
ATILIO VIVACQUA,28,8
BAIXO GUANDU,27,8
BARRA DE SAO FRANCISCO,27,8
BOA ESPERANCA,27,8
BOM JESUS DO NORTE,28,8
BREJETUBA,27,8
CACHOEIRO DE ITAPEMIRIM,28,8
CARIACICA,27,8
CASTELO,28,8
COLATINA,27,8
CONCEICAO DA BARRA,27,8
CONCEICAO DO CASTELO,28,8
DIVINO DE SAO LOURENCO,28,8
DOMINGOS MARTINS,27,8
DORES DO RIO PRETO,28,8
ECOPORANGA,27,8
FUNDAO,27,8
GOVERNADOR LINDENBERG,27,8
GUACUI,28,8
GUARAPARI,27,8
IBATIBA,28,8
IBIRACU,27,8
IBITIRAMA,28,8
ICONHA,28,8
IRUPI,28,8
ITAGUACU,27,8
ITAPEMIRIM,28,8
ITARANA,27,8
IUNA,28,8
JAGUARE,27,8
JERONIMO MONTEIRO,28,8
JOAO NEIVA,27,8
LARANJA DA TERRA,27,8
LINHARES,27,8
MANTENOPOLIS,27,8
MARATAIZES,28,8
MARECHAL FLORIANO,27,8
MARILANDIA,27,8
MIMOSO DO SUL,28,8
MONTANHA,27,8
MUCURICI,27,8
MUNIZ FREIRE,28,8
MUQUI,28,8
NOVA VENECIA,27,8
PANCAS,27,8
PEDRO CANARIO,27,8
PINHEIROS,27,8
PIUMA,28,8
PONTO BELO,27,8
PRESIDENTE KENNEDY,28,8
RIO BANANAL,27,8
RIO NOVO DO SUL,28,8
SANTA LEOPOLDINA,27,8
SANTA MARIA DE JETIBA,27,8
SANTA TERESA,27,8
SAO DOMINGOS DO NORTE,27,8
SAO GABRIEL DA PALHA,27,8
SAO JOSE DO CALCADO,28,8
SAO MATEUS,27,8
SAO ROQUE DO CANAA,27,8
SERRA,27,8
SOORETAMA,27,8
VARGEM ALTA,28,8
VENDA NOVA DO IMIGRANTE,28,8
VIANA,27,8
VILA PAVAO,27,8
VILA VALERIO,27,8
VILA VELHA,27,8
VITORIA,27,8
ABADIA DE GOIAS,62,9
ABADIANIA,62,9
ACREUNA,64,9
ADELANDIA,64,9
AGUA FRIA DE GOIAS,62,9
AGUA LIMPA,64,9
AGUAS LINDAS DE GOIAS,61,9
ALEXANIA,62,9
ALOANDIA,64,9
ALTO HORIZONTE,62,9
ALTO PARAISO DE GOIAS,62,9
ALVORADA DO NORTE,62,9
AMARALINA,62,9
AMERICANO DO BRASIL,64,9
AMORINOPOLIS,64,9
ANAPOLIS,62,9
ANHANGUERA,64,9
ANICUNS,64,9
APARECIDA DE GOIANIA,62,9
APARECIDA DO RIO DOCE,64,9
APORE,64,9
ARACU,62,9
ARAGARCAS,64,9
ARAGOIANIA,62,9
ARAGUAPAZ,62,9
ARENOPOLIS,64,9
ARUANA,62,9
AURILANDIA,64,9
AVELINOPOLIS,64,9
BARRO ALTO,62,9
BELA VISTA DE GOIAS,62,9
BOM JARDIM DE GOIAS,64,9
BOM JESUS DE GOIAS,64,9
BONFINOPOLIS,62,9
BONOPOLIS,62,9
BRAZABRANTES,62,9
BRITANIA,62,9
BURITI ALEGRE,64,9
BURITI DE GOIAS,64,9
BURITINOPOLIS,62,9
CABECEIRAS,61,9
CACHOEIRA ALTA,64,9
CACHOEIRA DE GOIAS,64,9
CACHOEIRA DOURADA,64,9
CACU,64,9
CAIAPONIA,64,9
CALDAS NOVAS,64,9
CALDAZINHA,62,9
CAMPESTRE DE GOIAS,62,9
CAMPINACU,62,9
CAMPINORTE,62,9
CAMPO ALEGRE DE GOIAS,64,9
CAMPO LIMPO DE GOIAS,62,9
CAMPOS BELOS,62,9
CAMPOS VERDES,62,9
CARMO DO RIO VERDE,62,9
CASTELANDIA,64,9
CATALAO,64,9
CATURAI,62,9
CAVALCANTE,62,9
CERES,62,9
CEZARINA,64,9
CHAPADAO DO CEU,64,9
CIDADE OCIDENTAL,61,9
COCALZINHO DE GOIAS,62,9
COLINAS DO SUL,62,9
CORREGO DO OURO,64,9
CORUMBA DE GOIAS,62,9
CORUMBAIBA,64,9
CRISTALINA,61,9
CRISTIANOPOLIS,64,9
CRIXAS,62,9
CROMINIA,64,9
CUMARI,64,9
DAMIANOPOLIS,62,9
DAMOLANDIA,62,9
DAVINOPOLIS,64,9
DIORAMA,64,9
DIVINOPOLIS DE GOIAS,62,9
DOVERLANDIA,64,9
EDEALINA,64,9
EDEIA,64,9
ESTRELA DO NORTE,62,9
FAINA,62,9
FAZENDA NOVA,62,9
FIRMINOPOLIS,64,9
FLORES DE GOIAS,62,9
FORMOSA,61,9
FORMOSO,62,9
GAMELEIRA DE GOIAS,62,9
GOIANAPOLIS,62,9
GOIANDIRA,64,9
GOIANESIA,62,9
GOIANIA,62,9
GOIANIRA,62,9
GOIAS,62,9
GOIATUBA,64,9
GOUVELANDIA,64,9
GUAPO,62,9
GUARAITA,62,9
GUARANI DE GOIAS,62,9
GUARINOS,62,9
HEITORAI,62,9
HIDROLANDIA,62,9
HIDROLINA,62,9
IACIARA,62,9
INACIOLANDIA,64,9
INDIARA,64,9
INHUMAS,62,9
IPAMERI,64,9
IPIRANGA DE GOIAS,62,9
IPORA,64,9
ISRAELANDIA,64,9
ITABERAI,62,9
ITAGUARI,62,9
ITAGUARU,62,9
ITAJA,64,9
ITAPACI,62,9
ITAPIRAPUA,62,9
ITAPURANGA,62,9
ITARUMA,64,9
ITAUCU,62,9
ITUMBIARA,64,9
IVOLANDIA,64,9
JANDAIA,64,9
JARAGUA,62,9
JATAI,64,9
JAUPACI,64,9
JESUPOLIS,62,9
JOVIANIA,64,9
JUSSARA,62,9
LAGOA SANTA,64,9
LEOPOLDO DE BULHOES,62,9
LUZIANIA,61,9
MAIRIPOTABA,64,9
MAMBAI,62,9
MARA ROSA,62,9
MARZAGAO,64,9
MATRINCHA,62,9
MAURILANDIA,64,9
MIMOSO DE GOIAS,62,9
MINACU,62,9
MINEIROS,64,9
MOIPORA,64,9
MONTE ALEGRE DE GOIAS,62,9
MONTES CLAROS DE GOIAS,62,9
MONTIVIDIU,64,9
MONTIVIDIU DO NORTE,62,9
MORRINHOS,64,9
MORRO AGUDO DE GOIAS,62,9
MOSSAMEDES,64,9
MOZARLANDIA,62,9
MUNDO NOVO,62,9
MUTUNOPOLIS,62,9
NAZARIO,64,9
NEROPOLIS,62,9
NIQUELANDIA,62,9
NOVA AMERICA,62,9
NOVA AURORA,64,9
NOVA CRIXAS,62,9
